TRAINTrainTimesRANKS,ROCKET,ResNet,Catch22,cBOSS,WEASEL,TSF,BOSS,RISE,S-BOSS,ProximityForest,InceptionTime,TS-CHIEF,STC,HIVE-COTE v1.0
ProximalPhalanxOutlineCorrect,1.0,2.0,3.0,5.0,4.0,9.0,6.0,8.0,10.0,7.0,12.0,11.0,13.0,14.0
ProximalPhalanxTW,1.0,2.0,3.0,4.0,5.0,9.0,6.0,8.0,10.0,7.0,12.0,11.0,13.0,14.0
RefrigerationDevices,3.0,1.0,2.0,4.0,7.0,5.0,8.0,6.0,11.0,10.0,9.0,14.0,12.0,13.0
Rock,3.0,1.0,2.0,4.0,7.0,6.0,8.0,5.0,9.0,11.0,10.0,14.0,12.0,13.0
ScreenType,3.0,1.0,2.0,4.0,7.0,5.0,8.0,6.0,11.0,10.0,9.0,14.0,12.0,13.0
SemgHandGenderCh2,3.0,1.0,2.0,4.0,6.0,7.0,10.0,5.0,12.0,13.0,8.0,14.0,9.0,11.0
SemgHandMovementCh2,3.0,1.0,2.0,4.0,7.0,5.0,10.0,6.0,12.0,13.0,9.0,14.0,8.0,11.0
SemgHandSubjectCh2,3.0,1.0,2.0,4.0,7.0,5.0,11.0,6.0,12.0,13.0,9.0,14.0,8.0,10.0
ShapeletSim,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
ShapesAll,2.0,1.0,3.0,4.0,10.0,6.0,7.0,5.0,9.0,12.0,8.0,14.0,11.0,13.0
SmallKitchenAppliances,2.0,1.0,3.0,4.0,10.0,5.0,7.0,6.0,11.0,9.0,8.0,14.0,12.0,13.0
SmoothSubspace,2.0,5.0,7.0,4.0,1.0,10.0,3.0,9.0,6.0,8.0,13.0,11.0,12.0,14.0
SonyAIBORobotSurface1,1.0,8.0,3.0,5.0,2.0,9.0,6.0,10.0,4.0,7.0,14.0,11.0,12.0,13.0
SonyAIBORobotSurface2,1.0,10.0,3.0,4.0,2.0,9.0,6.0,8.0,5.0,7.0,14.0,11.0,12.0,13.0
StarLightCurves,2.0,3.0,1.0,4.0,7.0,5.0,10.0,6.0,13.0,11.0,8.0,14.0,9.0,12.0
Strawberry,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,11.0,9.0,10.0,12.0,13.0,14.0
SwedishLeaf,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0
Symbols,1.0,4.0,2.0,3.0,7.0,9.0,5.0,8.0,6.0,10.0,12.0,11.0,13.0,14.0
SyntheticControl,1.0,3.0,2.0,5.0,4.0,9.0,6.0,10.0,8.0,7.0,12.0,11.0,13.0,14.0
ToeSegmentation1,1.0,3.0,2.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,12.0,11.0,13.0,14.0
ToeSegmentation2,1.0,3.0,2.0,4.0,6.0,7.0,5.0,9.0,8.0,10.0,12.0,11.0,13.0,14.0
Trace,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0
TwoLeadECG,1.0,9.0,3.0,4.0,2.0,8.0,5.0,10.0,6.0,7.0,14.0,11.0,12.0,13.0
TwoPatterns,1.0,3.0,2.0,5.0,4.0,6.0,9.0,8.0,10.0,7.0,12.0,11.0,13.0,14.0
UMD,1.0,3.0,2.0,5.0,4.0,10.0,6.0,9.0,7.0,8.0,12.0,11.0,13.0,14.0
UWaveGestureLibraryAll,2.0,3.0,1.0,4.0,7.0,5.0,10.0,6.0,13.0,11.0,8.0,14.0,9.0,12.0
UWaveGestureLibraryX,1.0,3.0,2.0,4.0,7.0,5.0,8.0,6.0,11.0,9.0,10.0,12.0,13.0,14.0
UWaveGestureLibraryY,1.0,3.0,2.0,4.0,12.0,5.0,7.0,6.0,10.0,8.0,9.0,11.0,13.0,14.0
UWaveGestureLibraryZ,1.0,3.0,2.0,4.0,10.0,5.0,7.0,6.0,11.0,8.0,9.0,12.0,13.0,14.0
Wafer,2.0,3.0,1.0,6.0,4.0,5.0,9.0,7.0,12.0,8.0,11.0,10.0,13.0,14.0
Wine,1.0,3.0,2.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,12.0,11.0,13.0,14.0
WordSynonyms,1.0,2.0,3.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0
Worms,3.0,1.0,2.0,4.0,7.0,5.0,8.0,6.0,10.0,11.0,9.0,14.0,12.0,13.0
WormsTwoClass,3.0,1.0,2.0,4.0,7.0,5.0,8.0,6.0,10.0,11.0,9.0,14.0,12.0,13.0
Yoga,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,11.0,9.0,10.0,12.0,13.0,14.0
