TRAINTrainTimesBenchmarkedRANKS,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
ToeSegmentation1,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,13.0,10.0,11.0,12.0,14.0
ToeSegmentation2,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0
Trace,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0
TwoLeadECG,2.0,3.0,1.0,5.0,6.0,7.0,4.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
TwoPatterns,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0
UMD,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,13.0,10.0,12.0,11.0,14.0
UWaveGestureLibraryAll,2.0,1.0,4.0,3.0,5.0,8.0,6.0,7.0,11.0,9.0,13.0,10.0,14.0,12.0
UWaveGestureLibraryX,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,11.0,9.0,12.0,10.0,13.0,14.0
UWaveGestureLibraryY,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,13.0,9.0,11.0,10.0,12.0,14.0
UWaveGestureLibraryZ,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,12.0,9.0,11.0,10.0,13.0,14.0
Wafer,1.0,3.0,2.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0,12.0,11.0,13.0,14.0
Wine,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0
WordSynonyms,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0,9.0,11.0,13.0,14.0
Worms,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,13.0,14.0
WormsTwoClass,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,13.0,14.0
Yoga,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0
