dataset_name,metric,best_method
beetlefly,Prec,WEASEL
beetlefly,AUROC,RISE
beetlefly,ACC,InceptionTime
beetlefly,Recall,InceptionTime
beetlefly,F1,InceptionTime
beetlefly,MCC,ProximityForest
umd,TrainTime,WEASEL
umd,NLL,ROCKET
umd,BALACC,ProximityForest
umd,Prec,BOSS
umd,AUROC,Catch22
umd,ACC,TS-CHIEF
umd,Recall,InceptionTime
umd,F1,ROCKET
umd,MCC,Catch22
starlightcurves,TrainTime,InceptionTime
starlightcurves,NLL,InceptionTime
starlightcurves,BALACC,RISE
starlightcurves,Prec,RISE
starlightcurves,AUROC,TS-CHIEF
starlightcurves,ACC,STC
starlightcurves,Recall,TS-CHIEF
starlightcurves,F1,ProximityForest
starlightcurves,MCC,HIVE-COTE v1.0
medicalimages,TrainTime,ROCKET
medicalimages,NLL,TSF
medicalimages,BALACC,Catch22
medicalimages,Prec,Catch22
medicalimages,AUROC,STC
medicalimages,ACC,InceptionTime
medicalimages,Recall,WEASEL
medicalimages,F1,ProximityForest
medicalimages,MCC,InceptionTime
twopatterns,TrainTime,WEASEL
twopatterns,NLL,RISE
twopatterns,BALACC,Catch22
twopatterns,Prec,InceptionTime
twopatterns,AUROC,Catch22
twopatterns,ACC,Catch22
twopatterns,Recall,InceptionTime
twopatterns,F1,Catch22
twopatterns,MCC,Catch22
arrowhead,TrainTime,ResNet
arrowhead,NLL,TSF
arrowhead,BALACC,InceptionTime
arrowhead,Prec,ROCKET
arrowhead,AUROC,TS-CHIEF
arrowhead,ACC,RISE
arrowhead,Recall,WEASEL
arrowhead,F1,Catch22
arrowhead,MCC,HIVE-COTE v1.0
gunpointmaleversusfemale,TrainTime,WEASEL
gunpointmaleversusfemale,NLL,InceptionTime
gunpointmaleversusfemale,BALACC,ResNet
gunpointmaleversusfemale,Prec,HIVE-COTE v1.0
gunpointmaleversusfemale,AUROC,TS-CHIEF
gunpointmaleversusfemale,ACC,STC
gunpointmaleversusfemale,Recall,ResNet
gunpointmaleversusfemale,F1,HIVE-COTE v1.0
gunpointmaleversusfemale,MCC,ResNet
semghandsubjectch2,TrainTime,ProximityForest
semghandsubjectch2,NLL,InceptionTime
semghandsubjectch2,BALACC,ResNet
semghandsubjectch2,Prec,Catch22
semghandsubjectch2,AUROC,ROCKET
semghandsubjectch2,ACC,STC
semghandsubjectch2,Recall,ResNet
semghandsubjectch2,F1,ResNet
semghandsubjectch2,MCC,S-BOSS
ecg200,TrainTime,WEASEL
ecg200,NLL,Catch22
ecg200,BALACC,TSF
ecg200,Prec,InceptionTime
ecg200,AUROC,ROCKET
ecg200,ACC,RISE
ecg200,Recall,HIVE-COTE v1.0
